Class::Test , 561::MathMutator::28 , 561::MathMutator::30 , 564::PrimitiveReturnsMutator::40 , 246::MathMutator::30 , 247::EmptyObjectReturnValsMutator::45 , 521::ConditionalsBoundaryMutator::55 , 518::MathMutator::20 , 518::MathMutator::22 , 521::MathMutator::49 , 520::NegateConditionalsMutator::35 , 521::NegateConditionalsMutator::55 , 519::VoidMethodCallMutator::31 , 545::IncrementsMutator::19 , 542::MathMutator::5 , 545::MathMutator::20 , 546::MathMutator::28 , 548::MathMutator::35 , 543::VoidMethodCallMutator::13 , 548::PrimitiveReturnsMutator::36 , 496::ConditionalsBoundaryMutator::25 , 505::ConditionalsBoundaryMutator::87 , 493::MathMutator::5 , 493::MathMutator::7 , 494::MathMutator::13 , 501::MathMutator::56 , 501::MathMutator::57 , 502::MathMutator::64 , 502::MathMutator::66 , 503::MathMutator::72 , 505::MathMutator::79 , 505::MathMutator::81 , 507::MathMutator::100 , 496::NegateConditionalsMutator::25 , 500::NegateConditionalsMutator::50 , 505::NegateConditionalsMutator::87 , 445::MathMutator::5 , 448::MathMutator::19 , 450::MathMutator::26 , 447::VoidMethodCallMutator::13 , 450::PrimitiveReturnsMutator::27 , 476::ConditionalsBoundaryMutator::19 , 477::ConditionalsBoundaryMutator::35 , 481::ConditionalsBoundaryMutator::49 , 487::MathMutator::86 , 474::NegateConditionalsMutator::5 , 476::NegateConditionalsMutator::19 , 477::NegateConditionalsMutator::31 , 477::NegateConditionalsMutator::35 , 481::NegateConditionalsMutator::49 , 486::NegateConditionalsMutator::72 , 482::VoidMethodCallMutator::57 , 484::VoidMethodCallMutator::66 , 478::PrimitiveReturnsMutator::43 , 487::PrimitiveReturnsMutator::87 , 321::PrimitiveReturnsMutator::10 , 324::PrimitiveReturnsMutator::24 , 356::ConditionalsBoundaryMutator::18 , 356::ConditionalsBoundaryMutator::20 , 363::ConditionalsBoundaryMutator::59 , 357::IncrementsMutator::26 , 359::MathMutator::39 , 364::MathMutator::65 , 367::MathMutator::77 , 356::NegateConditionalsMutator::18 , 356::NegateConditionalsMutator::20 , 363::NegateConditionalsMutator::59 , 360::VoidMethodCallMutator::50 , 367::PrimitiveReturnsMutator::78 , 423::IncrementsMutator::19 , 420::MathMutator::5 , 423::MathMutator::20 , 424::MathMutator::28 , 426::MathMutator::35 , 421::VoidMethodCallMutator::13 , 426::PrimitiveReturnsMutator::36 , 387::ConditionalsBoundaryMutator::33 , 399::ConditionalsBoundaryMutator::97 , 382::IncrementsMutator::7 , 384::IncrementsMutator::19 , 384::MathMutator::20 , 389::MathMutator::43 , 389::MathMutator::47 , 389::MathMutator::50 , 390::MathMutator::57 , 400::MathMutator::103 , 383::NegateConditionalsMutator::13 , 387::NegateConditionalsMutator::33 , 387::NegateConditionalsMutator::37 , 393::NegateConditionalsMutator::69 , 399::NegateConditionalsMutator::97 , 210::ConditionalsBoundaryMutator::45 , 216::InvertNegsMutator::73 , 203::MathMutator::5 , 204::MathMutator::13 , 204::MathMutator::18 , 206::NegateConditionalsMutator::30 , 210::NegateConditionalsMutator::45 , 216::NegateConditionalsMutator::70 , 204::VoidMethodCallMutator::19 , 216::PrimitiveReturnsMutator::81 , 181::ConditionalsBoundaryMutator::5 , 188::ConditionalsBoundaryMutator::39 , 196::InvertNegsMutator::92 , 189::MathMutator::44 , 189::MathMutator::48 , 189::MathMutator::51 , 189::MathMutator::53 , 193::MathMutator::68 , 194::MathMutator::76 , 194::MathMutator::78 , 194::MathMutator::83 , 194::MathMutator::84 , 181::NegateConditionalsMutator::5 , 188::NegateConditionalsMutator::39 , 191::NegateConditionalsMutator::63 , 196::NegateConditionalsMutator::90 , 196::PrimitiveReturnsMutator::99 , 230::NegateConditionalsMutator::7 , 230::BooleanTrueReturnValsMutator::15 , 262::EmptyObjectReturnValsMutator::9 , 265::EmptyObjectReturnValsMutator::22 , 291::ConditionalsBoundaryMutator::9 , 296::ConditionalsBoundaryMutator::32 , 292::MathMutator::15 , 292::MathMutator::17 , 291::NegateConditionalsMutator::9 , 292::NegateConditionalsMutator::19 , 296::NegateConditionalsMutator::32 , 298::VoidMethodCallMutator::45 , 299::EmptyObjectReturnValsMutator::51 , 107::ConditionalsBoundaryMutator::19 , 116::ConditionalsBoundaryMutator::52 , 129::ConditionalsBoundaryMutator::78 , 134::ConditionalsBoundaryMutator::102 , 137::ConditionalsBoundaryMutator::113 , 137::ConditionalsBoundaryMutator::116 , 130::IncrementsMutator::87 , 104::MathMutator::9 , 128::MathMutator::70 , 131::MathMutator::93 , 141::MathMutator::137 , 141::MathMutator::140 , 141::MathMutator::142 , 107::NegateConditionalsMutator::19 , 111::NegateConditionalsMutator::42 , 116::NegateConditionalsMutator::52 , 117::NegateConditionalsMutator::59 , 129::NegateConditionalsMutator::78 , 129::NegateConditionalsMutator::80 , 129::NegateConditionalsMutator::83 , 134::NegateConditionalsMutator::102 , 137::NegateConditionalsMutator::113 , 137::NegateConditionalsMutator::116 , 145::PrimitiveReturnsMutator::152 , 172::ConditionalsBoundaryMutator::36 , 168::MathMutator::7 , 168::NegateConditionalsMutator::8 , 171::NegateConditionalsMutator::23 , 172::NegateConditionalsMutator::36 , 169::PrimitiveReturnsMutator::15 , 173::PrimitiveReturnsMutator::44 , 175::PrimitiveReturnsMutator::53 , 608::ConditionalsBoundaryMutator::26 , 610::ConditionalsBoundaryMutator::37 , 610::ConditionalsBoundaryMutator::40 , 611::ConditionalsBoundaryMutator::45 , 611::ConditionalsBoundaryMutator::48 , 611::ConditionalsBoundaryMutator::52 , 613::ConditionalsBoundaryMutator::69 , 622::ConditionalsBoundaryMutator::114 , 611::IncrementsMutator::50 , 612::MathMutator::57 , 612::MathMutator::60 , 612::MathMutator::62 , 618::MathMutator::85 , 618::MathMutator::87 , 619::MathMutator::94 , 608::NegateConditionalsMutator::26 , 610::NegateConditionalsMutator::37 , 610::NegateConditionalsMutator::40 , 611::NegateConditionalsMutator::45 , 611::NegateConditionalsMutator::48 , 611::NegateConditionalsMutator::52 , 613::NegateConditionalsMutator::69 , 622::NegateConditionalsMutator::106 , 622::NegateConditionalsMutator::110 , 622::NegateConditionalsMutator::114 , 622::BooleanTrueReturnValsMutator::124 
TarUtilsTest::testName , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
TarUtilsTest::testNegative , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
TarUtilsTest::testOverflow , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
TarUtilsTest::testParseOctal , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
TarUtilsTest::testParseOctalInvalid , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
TarUtilsTest::testReadNegativeBinary12Byte , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
TarUtilsTest::testReadNegativeBinary8Byte , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
TarUtilsTest::testRoundEncoding , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
TarUtilsTest::testRoundTripNames , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
TarUtilsTest::testRoundTripOctal , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
